index,Player,Club,Goals
283,Mario Götze,FC Bayern München,9
284,Mario Götze,Borussia Dortmund,3
285,Roy Keane,Manchester United FC,12
286,Walter Pandiani,Real Club Deportivo La Coruña,12
287,Marcus Rashford,Manchester United FC,12
288,Mehmet Scholl,FC Bayern München,12
289,Bastian Schweinsteiger,FC Bayern München,12
290,Bastian Schweinsteiger,Manchester United FC,0
291,Paulo Sérgio,FC Bayern München,12
292,Giovanni,FC Barcelona,4
293,Giovanni,Olympiacos FC,8
294,Wesley Sneijder,AFC Ajax,2
295,Wesley Sneijder,FC Internazionale Milano,6
296,Wesley Sneijder,Galatasaray AŞ,4
297,Emmanuel Adebayor,AS Monaco FC,1
298,Emmanuel Adebayor,Arsenal FC,8
299,Emmanuel Adebayor,Real Madrid CF,2
300,Sávio,Real Madrid CF,10
301,Sávio,Anorthosis Famagusta FC,1
302,Harald Brattbakk,Rosenborg BK,11
303,José Callejón,Real Madrid CF,7
304,José Callejón,SSC Napoli,4
305,Óscar Cardozo,SL Benfica,11
306,Michalis Konstantinou,Panathinaikos FC,9
307,Michalis Konstantinou,Olympiacos FC,2
308,Douglas Costa,FC Shakhtar Donetsk,6
309,Douglas Costa,Juventus,1
310,Douglas Costa,FC Bayern München,4
311,Diego Costa,Chelsea FC,2
312,Diego Costa,Club Atlético de Madrid,9
313,Michael Essien,Olympique Lyonnais,5
314,Michael Essien,Chelsea FC,6
315,Alberto Gilardino,AC Milan,4
316,Alberto Gilardino,ACF Fiorentina,7
317,Jonas,Valencia CF,8
318,Jonas,SL Benfica,3
319,Sidney Govou,Olympique Lyonnais,10
320,Sidney Govou,Panathinaikos FC,1
321,Sébastien Haller,AFC Ajax,(11)
322,Xavi Hernández,FC Barcelona,11
323,Andrés Iniesta,FC Barcelona,11
324,Lorenzo Insigne,SSC Napoli,11
325,Toni Kroos,FC Bayern München,6
326,Toni Kroos,Real Madrid CF,5
327,Claudio López,Valencia CF,5
328,Claudio López,SS Lazio,6
329,Bernardo Silva,AS Monaco FC,2
330,Bernardo Silva,Manchester City FC,9
331,Michael Owen,Liverpool FC,6
332,Michael Owen,Real Madrid CF,1
333,Michael Owen,Manchester United FC,4
334,Mesut Özil,Real Madrid CF,4
335,Mesut Özil,Arsenal FC,7
336,Christian Panucci,AC Milan,3
337,Christian Panucci,Real Madrid CF,3
338,Christian Panucci,AS Roma,5
339,Miralem Pjanić,Olympique Lyonnais,5
340,Miralem Pjanić,AS Roma,2
341,Miralem Pjanić,Juventus,4
342,Miralem Pjanić,FC Barcelona,0
343,Miralem Pjanić,Beşiktaş JK,0
344,Tomáš Rosický,AC Sparta Praha,4
345,Tomáš Rosický,Borussia Dortmund,4
346,Tomáš Rosický,Arsenal FC,3
347,Clarence Seedorf,Real Madrid CF,3
348,Clarence Seedorf,AC Milan,8
349,Maksim Shatskikh,FC Dynamo Kyiv,11
350,Dejan Stanković,SS Lazio,3
351,Dejan Stanković,FC Internazionale Milano,8
352,Roar Strand,Rosenborg BK,11
353,Alex Teixeira,FC Shakhtar Donetsk,11
354,Alex Teixeira,Beşiktaş JK,0
355,Jon Dahl Tomasson,Feyenoord,7
356,Jon Dahl Tomasson,AC Milan,4
357,George Weah,Paris Saint-Germain,7
358,George Weah,AC Milan,4
359,Dwight Yorke,Manchester United FC,11
360,Zlatko Zahovič,FC Porto,8
361,Zlatko Zahovič,Olympiacos FC,2
362,Zlatko Zahovič,Valencia CF,1
363,Ricardo Quaresma,FC Porto,7
364,Ricardo Quaresma,Beşiktaş JK,3
365,Wissam Ben Yedder,Sevilla FC,10
366,Jefferson Farfán,PSV Eindhoven,4
367,Jefferson Farfán,FC Schalke 04,5
368,Jefferson Farfán,FC Lokomotiv Moskva,1
369,Luis García,Liverpool FC,10
370,İlkay Gündoğan,Borussia Dortmund,1
371,İlkay Gündoğan,Manchester City FC,9
372,David Silva,Valencia CF,2
373,David Silva,Manchester City FC,8
374,Joshua Kimmich,FC Bayern München,10
375,Saúl Ñíguez,Club Atlético de Madrid,10
376,Saúl Ñíguez,Chelsea FC,0
377,Ivica Olić,PFC CSKA Moskva,1
378,Ivica Olić,FC Bayern München,9
379,Ivan Rakitić,FC Barcelona,6
380,Ivan Rakitić,Sevilla FC,4
381,Rodrygo,Real Madrid CF,10
382,Dušan Tadić,AFC Ajax,10
383,John Terry,Chelsea FC,10
384,Christian Vieri,Juventus,4
385,Christian Vieri,FC Internazionale Milano,6
386,Mirko Vučinić,AS Roma,8
387,Mirko Vučinić,Juventus,2
